id,date,primary_type,description,location_description,beat,arrest,domestic,district,latitude,longitude,time,area
13325297,2023/12/31,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,1711,0,0,17,41.98554269,-87.7162773,00:00.0,Area Northwest
13330371,2023/12/31,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,0312,0,0,3,41.77972714,-87.60956524,00:00.0,Area Central
13325877,2023/12/31,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,0324,0,1,3,41.76184137,-87.59088248,00:00.0,Area Central
13324763,2023/12/31,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,0833,0,1,8,41.77213583,-87.73541384,00:00.0,Area Central
13325293,2023/12/31,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE,0814,0,0,8,41.7959513,-87.76082688,00:00.0,Area Central
13328280,2023/12/31,THEFT,$500 AND UNDER,STREET,1911,0,0,19,41.96178823,-87.68869538,00:00.0,Area North
13324914,2023/12/31,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,1022,0,1,10,41.86580231,-87.70686781,56:00.0,Area West
13324883,2023/12/31,CRIMINAL TRESPASS,TO VEHICLE,SIDEWALK,0722,1,0,7,41.77353667,-87.62999581,53:00.0,Area Central
13324788,2023/12/31,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,APARTMENT,0512,1,0,5,41.70567778,-87.60094436,50:00.0,Area South
13325064,2023/12/31,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,2033,0,1,20,41.97537723,-87.66324204,50:00.0,Area North
13324754,2023/12/31,BATTERY,DOMESTIC BATTERY SIMPLE,BAR OR TAVERN,1214,0,1,12,41.88711676,-87.64867829,49:00.0,Area North
13324767,2023/12/31,BATTERY,DOMESTIC BATTERY SIMPLE,RESTAURANT,2432,0,1,24,42.00508573,-87.66087366,46:00.0,Area North
13324756,2023/12/31,ROBBERY,ARMED - HANDGUN,GAS STATION,1222,0,0,12,41.88649329,-87.70024257,46:00.0,Area North
13324802,2023/12/31,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,STREET,0523,0,0,5,41.67173888,-87.63809977,45:00.0,Area South
13324710,2023/12/31,ASSAULT,SIMPLE,RESTAURANT,1833,0,0,18,41.89668341,-87.62786018,45:00.0,Area North
13325216,2023/12/31,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",PARKING LOT / GARAGE (NON RESIDENTIAL),0231,1,0,2,41.79387836,-87.61815957,44:00.0,Area Central
13324745,2023/12/31,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,0724,1,0,7,41.77227197,-87.65843159,40:00.0,Area Central
13324777,2023/12/31,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,1134,1,0,11,41.86771333,-87.70204331,35:00.0,Area West
13324740,2023/12/31,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,1113,0,0,11,41.88225866,-87.73552666,32:00.0,Area West
13324722,2023/12/31,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,ALLEY,2512,0,0,25,41.92601902,-87.80388353,31:00.0,Area Northwest
13324749,2023/12/31,CRIMINAL DAMAGE,TO PROPERTY,STREET,1022,0,1,10,41.86580231,-87.70686781,30:00.0,Area West
13325367,2023/12/31,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0731,0,0,7,41.76667589,-87.62819762,30:00.0,Area Central
13324727,2023/12/31,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0131,0,0,1,41.85496824,-87.62386631,30:00.0,Area North
13329730,2023/12/31,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),1934,0,0,19,41.93768404,-87.64261723,30:00.0,Area North
13324695,2023/12/31,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,ALLEY,1032,0,0,10,41.84019344,-87.71101132,28:00.0,Area West
13324760,2023/12/31,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,RESIDENCE,2411,0,0,24,42.01584189,-87.69333107,23:00.0,Area North
13324759,2023/12/31,NARCOTICS,POSSESS - COCAINE,STREET,2512,1,0,25,41.92928658,-87.77757716,21:00.0,Area Northwest
13324702,2023/12/31,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,0421,0,0,4,41.75267323,-87.56140213,20:00.0,Area South
13334766,2023/12/31,THEFT,FROM BUILDING,APARTMENT,2024,0,0,20,41.97406625,-87.65635315,15:00.0,Area North
13324741,2023/12/31,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,APARTMENT,0933,0,0,9,41.80598233,-87.65881882,08:00.0,Area Central
13324707,2023/12/31,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,1731,0,0,17,41.93895448,-87.73762538,07:00.0,Area Northwest
